,Description,Category,SubCategory1,SubCategory2,SubCategory3
1414,There has been a toilet bowl there for a week and it doesn't belong to anyone. Please take away.,Waste,Bulky waste,Construction and demolition waste,
1415,There are concrete blocks at Weidevogellaan 225 ,Waste,Bulky waste,Construction and demolition waste,
1416,"There is illegally dumped waste. Bags, refrigerator, trunk of tree and ground.",Waste,Bulky waste,Construction and demolition waste,
1417,SUEZ container is on public roads. Stones are taken out by children. The reporter is afraid that it will be thrown.,Waste,Bulky waste,Construction and demolition waste,
1418,"At the beginning of January 2020 there was a garden company that tiled someone's garden! Then left with the necessary articles left behind in the parking lot. There have now been a number of pallets and garden tiles in the parking lot (between numbers 20 and 22) for 4 weeks ... nothing happens! It is in a parking space .... it cannot be used! This message is also indicated on 11-2. MOR 1989970 status is completed, however, the customer indicates that nothing has been cleaned up yet.",Waste,Bulky waste,Construction and demolition waste,
1419,"Illegally dumped construction waste behind the containers in the grass, along the fence.",Waste,Bulky waste,Construction and demolition waste,
1420,At the beginning of January 2020 there was a garden company that tiled someone's garden! Then left with the necessary articles left behind in the parking lot. There have now been a number of pallets and garden tiles in the parking lot (between numbers 20 and 22) for 4 weeks ... nothing happens! It is in a parking space .... it cannot be used!,Waste,Bulky waste,Construction and demolition waste,
1421,"There is construction and demolition waste on the road. Most of it is in pockets. There is also something loose, sir indicates that there are paint cans loose.",Waste,Bulky waste,Construction and demolition waste,
1422,"There is a container belonging to the company VGS Gevelwerken at laan van Waalhaven 107 (opposite DHL). A report of bulky waste (couch) has previously been made and this has been collected, but the doors and racks are still there. Can these be collected?",Waste,Bulky waste,Construction and demolition waste,
1423,Has been like this since before Christmas. Children play and throw tiles. Dangerous. Will it still be picked up?,Waste,Bulky waste,Construction and demolition waste,
1424,Paint cans stand next to a construction container. Please delete,Waste,Chemical waste,Paint on the street,
1425,There is a mountain of stones in the parking lot between Het ROC Mondriaan and the apartment complex. The request from ROC Mondriaan to remove the stones.,Waste,Bulky waste,Construction and demolition waste,
1426,"The resident has been bothered by the local residents for a while, those residents leave all bulky waste (large amount of waste) and place it against the resident's hedge, making maintenance impossible. Reports have been made more often, but local residents continue to take this action. At the moment there is also a large sand mountain and large sand against enneco house. And against the hedge of Faberlaan is a large awning. Please extra enforcers!",Waste,Bulky waste,Construction and demolition waste,
1427,"2 loose tiles + cardboard box. Are not off the sidewalk, just too much.",Waste,Bulky waste,Construction and demolition waste,
1428,"Construction waste is regularly dumped on the sidewalk, including this time paint cans on the sidewalk. It is a light gray van with registration number: 88-VTT-4. This happens at different times of the day. The paint cans were dumped around 5 in the morning.",Waste,Chemical waste,Paint on the street,
1429,"In the firebreak behind the house on Curtisslaan 4 is a huge load of garden soil and all kinds of pieces of wood, opposite the back of the houses Plesmanlaan 123 and 125. A report has already been made: MOR2212164",Waste,Bulky waste,Construction and demolition waste,
1430,Garden tiles have been there for months,Waste,Bulky waste,Construction and demolition waste,
1431,5 large construction bags with stones in them have been placed on the sidewalk.,Waste,Bulky waste,Construction and demolition waste,
1432,Stone waste in 2 places between the ehc entrance and VEO at the green zoom car park,Waste,Bulky waste,Construction and demolition waste,
1433,"2 huge pallets of stone, dumped on the sidewalk. Have been there for 2 weeks, please remove!",Waste,Bulky waste,Construction and demolition waste,
1434,Stone storage on the sidewalk behind path,Waste,Bulky waste,Construction and demolition waste,
1435,A lot of things will be built behind the Blauwe Reigersingel (near the barns). Lives dangerous when children / someone there cycling in darkness. Removing weeds is apparently also effort.,Waste,Bulky waste,Construction and demolition waste,
1436,Again dumped rubbish on the railway lane in front of the garage park. It will remain a dump here,Waste,Bulky waste,Construction and demolition waste,
1437,Mrs. had a bulky waste appointment yesterday. Someone else added a toilet bowl. and this one is still there. Please delete.,Waste,Bulky waste,Construction and demolition waste,
1438,"A pile of garden tiles has been standing in the parking lot on the Achterlijn between the sportsingel and the golf course for a few months now. The aso owner probably had them over and left them. There was also a container of the Fa Omega. It also stood there for a long time, but is now gone. Enforcement has already passed by. I don't know who owns the tiles.",Waste,Bulky waste,Construction and demolition waste,
1439,"In the night from Saturday to Sunday November 1, the end of the house placed a toilet bowl here.",Waste,Bulky waste,Construction and demolition waste,
1440,Construction waste has been deeumed in the industrial area behind the range near the ditch.,Waste,Bulky waste,Construction and demolition waste,
1441,Has been deposited with bulky waste for which an appointment has been made. The toilet bowl and garbage bags do not belong to the person who made the appointment.,Waste,Bulky waste,Construction and demolition waste,
1442,"There is a mountain of construction and demolition waste on the sidewalk. According to customer, the owner of folding rasveld 14",Waste,Bulky waste,Construction and demolition waste,
1443,Bag of stones on the street.,Waste,Bulky waste,Construction and demolition waste,
1444,There are 3 rubble cases and a sidewalk tile on the public road. Please pick these up.,Waste,Bulky waste,Construction and demolition waste,
1445,Stones on the sidewalk for a long time,Waste,Bulky waste,Construction and demolition waste,
1446,"On a slope near the first bridge of the cattail field in the field behind glass, tiles and more construction junk were thrown down.",Waste,Bulky waste,Construction and demolition waste,
1447,"On the Zoetermeer road in the direction of Zoetermeer, just before the sign “end of built-up area” on the entrance to work access Randstadrail is a mountain of debris and now others think that it is a landfill here, so now and then something is added The location on the map is therefore not correct, the app turns it into Zoetermeer",Waste,Bulky waste,Construction and demolition waste,
1448,5 car tires dumped by other people with Mrs bulky waste. Madam indicates that her bulky waste has been collected.,Waste,Bulky waste,Construction and demolition waste,
1449,"Ms indicates that there is bulky waste on the street. It's still there since the weekend. It's about three things, laminate boxes and leftover laminate. And also a sidewalk stone. ",Waste,Bulky waste,Construction and demolition waste,
1450,"Bulky waste has been removed today, the toilet bowl is still there and has not been taken",Waste,Bulky waste,Construction and demolition waste,
1451,It concerns a number of concrete tiles at the Orac there with number or 760,Waste,Bulky waste,Construction and demolition waste,
1452,There is a lot of construction waste on the street. The neighbors of number 9 are doing a renovation. Can this be cleaned up please?,Waste,Bulky waste,Construction and demolition waste,
1453,There is a lot of construction waste in a paper bin (paper bin is the wheelie bin that people have at home). It has been here for over a week. happy to pick up,Waste,Bulky waste,Construction and demolition waste,
1454,Is here something on the roadside along the cycle path,Waste,Bulky waste,Construction and demolition waste,
1455,"Garden waste, tiles and pallets have been in a parking space for several months. The garden has been ready for a while.",Waste,Bulky waste,Construction and demolition waste,
1456,Mrs. reports that a parking space is taken up by a pallets of stones. This has been there for at least 2 months. Please maintain this.,Waste,Bulky waste,Construction and demolition waste,
1457,Mrs. indicates that there are all kinds of rubbish bags from construction waste on the street. It has been there for 2 weeks. She would like to see this removed.,Waste,Bulky waste,Construction and demolition waste,
1458,There is a huge pile of sand uncovered on the sidewalk. Nobody can pass by anymore. Is this allowed just like that?,Waste,Bulky waste,Construction and demolition waste,
1459,Dispose of dumped waste (8x large bags of construction waste),Waste,Bulky waste,Construction and demolition waste,
1460,There is a sink next to the container,Waste,Bulky waste,Construction and demolition waste,
1461,Bag of debris. From Suez. Been here for over a week,Waste,Bulky waste,Construction and demolition waste,
1462,bulky waste / construction waste,Waste,Bulky waste,Construction and demolition waste,
1463,Bricks in one parking space ...,Waste,Bulky waste,Construction and demolition waste,
1464,This bag has been in this place for more than 6 weeks. It belongs to the residents of Softballplein 4. How long before they start cleaning it up ??? Please make a serious complaint for this.,Waste,Bulky waste,Construction and demolition waste,
1465,"A few months ago they (the municipality?) Carried out excavation work under the sidewalk. When they were finished, they left behind two piles of sand with stones. 'The municipal sanitation will clean this up,' was the comment. Until now it has not been cleaned up.",Waste,Bulky waste,Construction and demolition waste,
1466,"A football field has been refurbished by order of the municipality. It has been ready for two weeks now, but there are still paving stones. Please delete. ",Waste,Bulky waste,Construction and demolition waste,
1467,Illegally disposed of bulky waste.,Waste,Bulky waste,Construction and demolition waste,
1468,At the corner with the Laan van Human Rights there are 2 large jute bags with sand. This has been reported before but they are still there. Please delete.,Waste,Bulky waste,Construction and demolition waste,
1469,Toilet bowl in the green border,Waste,Bulky waste,Construction and demolition waste,
1470,bulky waste and construction waste,Waste,Bulky waste,Construction and demolition waste,
1471,Ms. indicates that there is a whole mountain of construction and demolition waste ,Waste,Bulky waste,Construction and demolition waste,
1472,Paper and construction waste,Waste,Bulky waste,Construction and demolition waste,
1473,A large construction container has been in the street in a parking space for 2 months.,Waste,Bulky waste,Construction and demolition waste,
1474,Mister indicates that there are plastic remnants of a roof in the green. The request to remove this.,Waste,Bulky waste,Construction and demolition waste,
1475,The reporter indicates that there has been waste on the street for more than two months. It involves a large tile and debris bags. Please delete,Waste,Bulky waste,Construction and demolition waste,
1476,2 big white bags full of sand on the sidewalk,Waste,Bulky waste,Construction and demolition waste,
1477,mountains sand gravel earth ,Waste,Bulky waste,Construction and demolition waste,
1478,stack tiles to the orac,Waste,Bulky waste,Construction and demolition waste,
1479,There is roof covering next to the above-ground plastic container. It lies against the container.,Waste,Bulky waste,Construction and demolition waste,
1480,"Ms indicates that there is construction waste from the road works that have been carried out. These are: Pawns, sand and posts. Can this be picked up asap please?",Waste,Bulky waste,Construction and demolition waste,
1481,There has been an overflowing debris container for about 6 weeks. Can anything be done about this?,Waste,Bulky waste,Construction and demolition waste,
1482,"Ms. indicates that there is a pile of rubbish on the other side of her house. It is concrete which was probably a concrete fence and was left here by a company that is renovating in the neighborhood. It is a company hired by Haag wonen. However, Mrs. that a lady fell over yesterday because it is behind parked cars and this is not noticeable in the dark and creates very dangerous situations. Ms. asks if it can be removed asap.",Waste,Bulky waste,Construction and demolition waste,
1483,"garden tiles dumped, also on the side bunches of pex near the trash can",Waste,Bulky waste,Construction and demolition waste,
1484,"BuitenBeter reporting number: 8276522. Resident has renovated the backyard but dumped pieces of fence, pallets, tiles and other rubbish in the public space at Palestrinaweg 301, next to the bridge through the back gate. If it is not removed, it can end up in a ditch.",Waste,Bulky waste,Construction and demolition waste,
1485,Shower doors have been installed in bulky waste from an appointment. One is shattered and tidy Please remove the door urgently before the glass is also shattered,Waste,Bulky waste,Construction and demolition waste,
1486,There has been a toilet bowl on the street among the bushes for several days ,Waste,Bulky waste,Construction and demolition waste,
1487,"Opposite no. 87/89 in the Okkernootstraat, an unknown person dumped 5 bags of rubble or something similar this afternoon, also in the middle of the parking spaces!",Waste,Bulky waste,Construction and demolition waste,
1488,5 bags of debris dumped from the trunk of a car on Sunday afternoon between 2pm and 4pm,Waste,Bulky waste,Construction and demolition waste,
1489,Long pipes In the HBS parking lot,Waste,Bulky waste,Construction and demolition waste,
1490,"The gentleman calls to report that there is bulky waste (stone / tile pallets, garden waste) in his street:. He indicates this situation has been in the street for a week. He would like this to be cleaned up.",Waste,Bulky waste,Construction and demolition waste,
1491,Business with debris on top of the parking roof 2x.,Waste,Bulky waste,Construction and demolition waste,
1492,"There is sand and tiles from a garden company on the public road, because of this mister has made a nasty fall. This construction site that is responsible for this has been there for 3 months. ",Waste,Bulky waste,Construction and demolition waste,
1493,"There are 2 pallets, a door and plasterboard for the garages. Place is accessible for the HMS to pick up, sir indicates. Please pick up.",Waste,Bulky waste,Construction and demolition waste,
1494,2 rubbish bags in the green area next to the water. Been there for weeks.,Waste,Bulky waste,Construction and demolition waste,
1495,see MOR2109099 Madam is now calling again to inform us that the container will be removed tonight,Waste,Bulky waste,Construction and demolition waste,
1496,"Ms indicates that an iron trailer without will has been deposited as bulky waste. Madam also knows who this comes from. According to the lady, these are the neighbors above the pharmacy.",Waste,Bulky waste,Construction and demolition waste,
1497,2 bags of construction and demolition waste on the street.,Waste,Bulky waste,Construction and demolition waste,
1498,Litter on the street Trailer full of construction waste and bags of asbestos ,Waste,Bulky waste,Construction and demolition waste,
1499,There are about 4 to 5 large bags with stones in them ,Waste,Bulky waste,Construction and demolition waste,
1500,"Dear, On the advice of the local police officer Kees Duivenvoorde, who is acting for his colleague Jan Bouter, I report abandoned and loose construction materials around the new Zuiderduinen complex on the Wijndaelerweg. This complex has already been vandalized in the past week. The houses of two of the three apartments have now been delivered to the owners, but are not yet occupied. As owners, we supervise every evening with a group of residents and a security company has been hired for the night of old to new. However, there is quite a lot of construction material left behind, not only by the contractors, but also stones that have been left behind by the municipality during work on the road. See some photos in the attachment. There is a commitment that the container will be collected on Monday, December 21. Yours sincerely, on behalf of all owners of Zuiderduinen, blocks A and B, Paula Otten, 2554 BZ 3D best, Another photo 2554 BZ building material up for grabs. With kind regards, on behalf of all owners of this uninhabited complex, Paula Otten 2554BZ 3D ",Waste,Bulky waste,Construction and demolition waste,
1501,"Dear, the container has been removed. See the picture how it looks now .. There is still all kinds of wood, stones, etc. See the pictures. At 3 p.m. we will clean up as much as possible with a number of future residents. There are a number of annoying things such as mountains of stones, materials and construction stuff that we cannot clean up ourselves. Kind regards, on behalf of all residents of Zuiderduinen block A and B, Paula Otten ",Waste,Bulky waste,Construction and demolition waste,
1502,"There is a lot of sand and a lot of stones on the road near the car of a gardening company. The resident of no. 20 has a large garden where the garden company's car can be put on, should the construction of the garden proceed. The stones and sand must be cleared away. This was previously reported under reference MOR2089730 May 20",Waste,Bulky waste,Construction and demolition waste,
1503,"Via BB: ""Construction and demolition waste dumped in the green area""",Waste,Bulky waste,Construction and demolition waste,
1504,"There is a toilet bowl in the green strip, can this be removed? ",Waste,Bulky waste,Construction and demolition waste,
1505,Stones and tiles dumped on the street,Waste,Bulky waste,Construction and demolition waste,
1506,Opposite number 19 Ouverturestraat is a parking roof with a shopping trolley near the fence with construction and demolition waste ,Waste,Bulky waste,Construction and demolition waste,
1507,There is construction waste in a white bag on the public road. Zak has been there since Friday and has already been reported once.,Waste,Bulky waste,Construction and demolition waste,
1508,Someone has put an old toilet next to the waste container 15VO0555. Please tidy up. Thanks,Waste,Bulky waste,Construction and demolition waste,
1509,Bathroom furniture dumped in the corner of the parking lot.,Waste,Bulky waste,Construction and demolition waste,
1510,"Litter on the street Dump waste at Zandvoortselaan parking lot Zandvoortselaan The Hague The Hague Sunday, 17 January 2021 04:07 ",Waste,Bulky waste,Construction and demolition waste,
1511,"left behind two barrels of fire after New Year's Eve. Reporter has previously reported this, see: Mor 23 35 129 unfortunately it has still not been removed.",Waste,Bulky waste,Construction and demolition waste,
1512,"Plates and sand, big bags, trays. Left everything behind. Nobody responds. Please remove urgently.",Waste,Bulky waste,Construction and demolition waste,
1513,Ms indicates that those large four gravel tiles have been placed against the underground containers. Can this be cleaned up?,Waste,Bulky waste,Construction and demolition waste,
1514,"Via BB: ""Plasterboard"" See photo",Waste,Bulky waste,Construction and demolition waste,
1515,A dumped expansion vessel,Waste,Bulky waste,Construction and demolition waste,
1516,A construction container has been on the street for 6 months. Children throw in everything.,Waste,Bulky waste,Construction and demolition waste,
1517,a lot of bulky waste such as plasterboard,Waste,Bulky waste,Construction and demolition waste,
1518,"Via BB: ""Car tires, pallets and glass plates dumped in the municipal green area""",Waste,Bulky waste,Construction and demolition waste,
1519,Illegally dumped debris along the roadside,Waste,Bulky waste,Construction and demolition waste,
1520,Bags of cement left by an unknown person.,Waste,Bulky waste,Construction and demolition waste,
1521,Illegal waste dump from car tires,Waste,Bulky waste,Construction and demolition waste,
1522,construction waste in the bush and bags of construction waste,Waste,Bulky waste,Construction and demolition waste,
1523,"Bulky waste on the street, there is also a red white fence that has been placed for work, the pole is in the grass. Stacks of stones, sidewalk tiles, old garden gate, old iron, etc.",Waste,Bulky waste,Construction and demolition waste,
1524,"Dear Sir / Madam, On the footpath on Mozartlaan between Traviatastraat and Rossinilaan there are bags of rubble (along the green strip in relation to the library). Kind regards, Laurens Smid. ",Waste,Bulky waste,Construction and demolition waste,
1525,Construction waste is located next to a hanging waste bin at the corner of Arabislaan / Mimosastraat near the supermarket.,Waste,Bulky waste,Construction and demolition waste,
1526,Construction rubble pushed into the bushes next to the parking spaces at the height of the sign,Waste,Bulky waste,Construction and demolition waste,
1527,Stones dumped in the municipal green area ,Waste,Bulky waste,Construction and demolition waste,
1528,Construction waste in the ditch.,Waste,Bulky waste,Construction and demolition waste,
1529,There used to be nine red and white bins and now there is 1 more white bin. These are bins that are used during work.,Waste,Bulky waste,Construction and demolition waste,
1530,Building material dumped behind the bowling alley.,Waste,Bulky waste,Construction and demolition waste,
1531,"Shopping cart with tiles, shoe boxes. And tiles next to the shopping cart",Waste,Bulky waste,Construction and demolition waste,
1532,Washbasin on the street.,Waste,Bulky waste,Construction and demolition waste,
1533,Sanitary sink is on the street side.,Waste,Bulky waste,Construction and demolition waste,
1534,Concrete mortar bags dumped behind the waste paper bin opposite the Wijdaelercentrun ,Waste,Bulky waste,Construction and demolition waste,
1535,Demolition waste is now being dumped in the bushes,Waste,Bulky waste,Construction and demolition waste,
1536,"From March 13, bags and garbage items will be on the public road.",Waste,,,
1537,there is a renovation on the old hedge 126J there is a degreaser on the street this is a chemise degreaser,Waste,Chemical waste,Paint on the street,
1538,"Please collect concrete pile and waste tiles. Thank you very much. Saskia van Niekerk, member of Oog & Oor.",Waste,Bulky waste,Construction and demolition waste,
1539,Biels dumped on the Lozerlaan next to the cycle path in the green which lies against the water. no house numbers nearby,Waste,Bulky waste,Construction and demolition waste,
1540,"These are stones / large clinkers, which were dumped at the rear of the Hanenburg garden center (see photo).",Waste,Bulky waste,Construction and demolition waste,
1541,There is a shower tray in the Ouverturestraat at the foot of the parking garage on the stone staircase.,Waste,Bulky waste,Construction and demolition waste,
1542,Construction waste in 3 white bags on the street.,Waste,Bulky waste,Construction and demolition waste,
1543,The detector indicates that there are 3 large white bags with debris (stone etc.),Waste,Bulky waste,Construction and demolition waste,
1544,There are white garbage bags with debris in them. Would you like to clear this up? thanks!,Waste,Bulky waste,Construction and demolition waste,
1545,Someone has 'dumped' paving stones as bulky waste on the plants in the plan. ,Waste,Bulky waste,Construction and demolition waste,
1546,"At the corner of Zinkwerf and De Werf, this block is dumped next to the building of De Werf no. 15.",Waste,Bulky waste,Construction and demolition waste,
1547,since a few weeks there has been construction and demolition waste + a mattress The construction and demolition waste concerns a shower tray and a sink,Waste,Bulky waste,Construction and demolition waste,
1548,It concerns a number of bags of gravel on the sidewalk (see photo) Please as soon as possible due to deterioration. Please remove it because it also blows away and children play with it.,Waste,Bulky waste,Construction and demolition waste,
1549,"There is waste in the parking space right in front of my house This makes for a very dangerous situation Especially when it is dark, a car would hit it full when parking Toscaninistraat 177 ",Waste,Bulky waste,Construction and demolition waste,
1550,"There is construction waste on Arabislaan. Due to the strong wind, the waste is spread in the neighborhood. The renovation is behind a pastry shop on the decline, here the waste is not moved correctly. Other passers-by also deposit waste in that place.",Waste,Bulky waste,Construction and demolition waste,
1551,In the Rossinilaan opposite number 134/126 there is construction and demolition waste with the underground containers for residual waste. No appointment has been made for this. Can this be removed?,Waste,Bulky waste,Construction and demolition waste,
1552,"There is packaging material on Arnold Spoelplein at house number 88. Has fallen off a construction container that was removed during the holidays. Please also bring the Christmas tree, with a tree also at house number 88",Waste,Bulky waste,Construction and demolition waste,
1553,"Bulky waste was collected in Jan Bronnerstraat, but leftovers (paint cans and rollers) remained. at number 98. Further down the street is a toilet bowl at number 5. It probably comes from number 106.",Waste,Bulky waste,Construction and demolition waste,
1554,Dumped construction waste (sand and bags of gravel / stones?) In the berm Balsemienlaan at the head of Lobelialaan,Waste,Bulky waste,Construction and demolition waste,
1555,"Stone waste dumped since December 27, 2019. No idea by whom.",Waste,Bulky waste,Construction and demolition waste,
1556,a lot of Construction and demolition waste in the green.,Waste,Bulky waste,Construction and demolition waste,
1557,Debris waste dumped at Shurgard entrance,Waste,Bulky waste,Construction and demolition waste,
1558,see photo Debris deposited on the road. ,Waste,Bulky waste,Construction and demolition waste,
1559,A toilet bowl on the public road. ,Waste,Bulky waste,Construction and demolition waste,
1560,There is a sink and a toilet on the side of Daal en Bergselaan.,Waste,Bulky waste,Construction and demolition waste,
1561,See picture. Debris deposited on the road.,Waste,Bulky waste,Construction and demolition waste,
1562,"a sink, thrown on the street!",Waste,Bulky waste,Construction and demolition waste,
1563,"Mr. had an appointment today (10-06, pick-up place architect mutterstraat at number 10) for bulky waste. This one has also been picked up. Only people have added paint cans and whitewash and white bags and big tree trunks. These have not been included. But was also not sir.",Waste,Bulky waste,Construction and demolition waste,
1564,Paint pots are on the street. This is not bulky waste and therefore not included. Can this still be picked up?,Waste,Bulky waste,Construction and demolition waste,
1565,"There is a mountain of bulky waste, including combustible things and nails. Please pick up asap for the safety of the residents. ",Waste,Bulky waste,Construction and demolition waste,
1566,Insulation material on the street against the garage doors.,Waste,Bulky waste,Construction and demolition waste,
1567,"MOR2112943 2nd report now Unfortunately nothing has been done with it. It may have been thought to belong to the painter, but it is not the painter's. The waste remains. ",Waste,Bulky waste,Construction and demolition waste,
1568,"Loose sidewalk tile is on the street, please clean it up.",Waste,Bulky waste,Construction and demolition waste,
1569,Bulky waste / litter see photo. ,Waste,Bulky waste,Construction and demolition waste,
1570,"A report has already been made, but the waste is still there. It is MOR2045942. There are bags of sand, and there is also a bicycle wreck under those bags.",Waste,Bulky waste,Construction and demolition waste,
1571,Construction demolition waste is on the public road. This was added after a bulky waste appointment by a stranger.,Waste,Bulky waste,Construction and demolition waste,
1572,"Ms indicates that a local resident dumps construction and demolition waste loose in the orac. It is a kind of bathroom tiles. The garbage is in the right orac, when you stand in front of the orac. The reporter saw where the man who dumped the waste lives: Badhuisweg 59",Waste,Bulky waste,Construction and demolition waste,
1573,For some time there is a wheelie bin in the street with debris in it. This is always placed in front of someone else's door.,Waste,Bulky waste,Construction and demolition waste,
1574,This pallet has been here for over a month. Please delete.,Waste,Bulky waste,Construction and demolition waste,
1575,"Among other things, there is a pallet, a stool and a wooden chair on the sidewalk.",Waste,Bulky waste,Construction and demolition waste,
1576,The reporter indicates that there is construction and demolition waste on the street. Please delete,Waste,Bulky waste,Construction and demolition waste,
1577,"I asked the municipal workers who came with a car to empty the trash can in the bushes if they could immediately take a catch. They were WITH 3 people !!!!, but they pretended I was crazy and left it alone !! I enjoy cleaning part of the Nieuwe Scheveningen bushes every week. On average 5 large bags. full. But these 3 men are too bummed to load a catch. They must be too tired. One changes the bag and the others have a nice rest.",Waste,Bulky waste,Construction and demolition waste,
1578,"On Jan 8 and Jan 17, Ms reported construction waste next to the container. MOR1958156, MOR1966917 Today the waste is still lying next to the waste containers.",Waste,Bulky waste,Construction and demolition waste,
1579,There are pallets and car tires etc in the park.,Waste,Bulky waste,Construction and demolition waste,
1580,A large pallet has been placed in the gate. Please remove this asap due to fire hazard.,Waste,Bulky waste,Construction and demolition waste,
1581,Madam would like to report a large red tube that has been left behind after municipal work. This tube has been there for months. Please check and clean up as soon as possible.,Waste,Bulky waste,Construction and demolition waste,
1582,"At the intersection of Carnegielaan with Tolweg, there have been two sections of curbs between the bushes for a very long time (opposite the Peace Palace). There are also bricks and other rubbish there! Please delete.",Waste,Bulky waste,Construction and demolition waste,
1583,"there is a large bag of 60 liters with construction waste, stones. 30kg approx",Waste,Bulky waste,Construction and demolition waste,
1584,"Dear, yesterday I also made this report but I found out that I had done that with my work account and I am therefore afraid that it arrived in Vlaardingen. Sorry. The bag in the photo has been there for months. This costs a parking space that we are not very good at, but worse regularly the waste blows through the street. Kind regards Marcia Badhuisweg 34",Waste,Bulky waste,Construction and demolition waste,
1585,"There is regularly bulky waste on the street, this comes from a demolition house that has been emptied. House is also cleared due to asbestos. At the moment there are two washing machines on the street and other equipment.",Waste,Bulky waste,Construction and demolition waste,
1586,Wooden pallet on the street and a Christmas tree,Waste,Bulky waste,Construction and demolition waste,
1587,Mnr says that construction and demolition waste is placed in a parking space. This concerns residents of 96 boutzelaerlaan who are busy with the renovation.,Waste,Bulky waste,Construction and demolition waste,
1588,"There is a big white bag, 60 liters with construction waste, stones. 30kg approx. (MOR1981907) This has been reported before, but not yet retrieved.",Waste,Bulky waste,Construction and demolition waste,
1589,There are pallets and car tires etc in the park. See MOR1969120,Waste,Bulky waste,Construction and demolition waste,
1590,"Bulky waste has been in the collection container for days. It concerns plastic pipes, metal pipes, etc.",Waste,Bulky waste,Construction and demolition waste,
1591,"This construction site has been here for at least 3 months. A permit has been issued but there is no work at all. This company does have an office at Kranenburgweg 61a, but then it is not allowed to place a site hut in front of the door in a residential area? Something didn't seem right to me.",Waste,Bulky waste,Construction and demolition waste,
1592,"Large iron stellage from possible remodeling put down by people near here. On the cycle path in the new Scheveningen groves, parks route.",Waste,Bulky waste,Construction and demolition waste,
1593,Construction waste in the dirt street,Waste,Bulky waste,Construction and demolition waste,
1594,"Paint residues, plaster residues, construction waste on the street. Overcrowded container where everything then blows out and lies on the street. Has been overcrowded for at least 2 weeks now. All renovation junk / dust / paint / stucco remains on the street and sidewalk. Has been going on for a few months now. There is no known point of contact for the renovation of the westduinweg 73.",Waste,Bulky waste,Construction and demolition waste,
1595,"mw indicates that there is a large container in the street in front of her car park. This container is completely full of waste from a building that is being renovated in the Keizerstraat. One container is now completely full, and a second container has been placed next to it, Van Smethorst says. Is this correct?",Waste,Bulky waste,Construction and demolition waste,
1596,Large slabs of wood placed 3 by 2 meters against the wall by someone.,Waste,Bulky waste,Construction and demolition waste,
1597,"construction waste dumped, please pick up",Waste,Bulky waste,Construction and demolition waste,
1598,roof tiles and a large paint pot,Waste,Bulky waste,Construction and demolition waste,
1599,Construction and demolition of waste in the Vehulstplein area,Waste,Bulky waste,Construction and demolition waste,
1600,"Mr. reports a two-part report. On the one hand, construction waste is regularly dumped by a scaffolding company. They do not clear this up. The work will start tomorrow and Mr. know for sure that there will be illegal construction waste again on public roads. His previous requests have not been taken up. Could enforcement take a look soon?",Waste,Bulky waste,Construction and demolition waste,
1601,Mister indicates that a scooter and bicycles were set on fire in the street 2 weeks ago. Then there was fire again but the wrecks were not picked up. Mister made a report on Monday but received no confirmation and the report is also not in the system. Sir would like the banned scooter and bicycle to be removed as soon as possible,Waste,Bulky waste,Construction and demolition waste,
1602,"Mister indicates that a construction hoist has been half on the sidewalk for three months. The contractor is unknown, this is a white construction hoist with registration number WJSG63. Can this be picked up?",Waste,Bulky waste,Construction and demolition waste,
1603,"The customer has already made several reports and called more often, has not been called back. reference MOR2309087 (15-12-2020) and MOR2327333. Probably came in wrong but it's been there since May last year. Location: Scheveningseweg at the height of 62-66 on the verge between the cycle path and footpath. An approximately 4 meter long black pipe jacket and a large roll of green cable pipe.",Waste,Bulky waste,Construction and demolition waste,
1604,"Pallets dumped at ORAC, can't see who did this :-(",Waste,Bulky waste,Construction and demolition waste,
1605,"closet, sewer, shelves, sewer pipes and more",Waste,Bulky waste,Construction and demolition waste,
1606,"Via BB: ""Construction waste in the edge of the forest after Scheveningen groves opposite house windekind""",Waste,Bulky waste,Construction and demolition waste,
1607,Firma van Geelen was demolishing at Vuurtorenweg 37. There is a mountain of rubble / stones Mrs. Calling is afraid because it is almost old and new and they are a retirement home ,Waste,Bulky waste,Construction and demolition waste,
1608,It's about stones and cement.,Waste,Bulky waste,Construction and demolition waste,
1609,Pallets and wood left behind. Please take this with you,Waste,Bulky waste,Construction and demolition waste,
1610,are all tiles next to the orac's. IDEA: CAN MORE CONTAINERS BE ADDED?,Waste,Bulky waste,Construction and demolition waste,
1611,Construction and demolition waste ,Waste,Bulky waste,Construction and demolition waste,
1612,Dumped construction waste has already been reported to the municipality by e-mail for weeks,Waste,Bulky waste,Construction and demolition waste,
1613,"The bus shelter on Statenplein has been relocated, here also paving stones have been renewed, but there is now about 20 paving stones behind the bus shelter. Can these be removed. There is also a large iron tube of about 3 meters.",Waste,Bulky waste,Construction and demolition waste,
1614,"Mister indicates that there is a construction container. With him at the front door. This has been there for 5 weeks. Has a report been made about this, use public street? The gentleman has already been in contact with the company and has indicated that the neighbor of number 96 has requested this. Now the container is used for all kinds of waste. Can someone come over to check this?",Waste,Bulky waste,Construction and demolition waste,
1615,There has been a large bag of sand in the racecourse street at number 13 for some time now. Please remove it. this costs a parking space. your notification form does not work on the website by the way,Waste,Bulky waste,Construction and demolition waste,
1616,Shelves and insulation material,Waste,Bulky waste,Construction and demolition waste,
